Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"MONY","MONEYSUPERMARKET.COM GROUP PLC","Equity","0.48","2.95","216,740.00","640,033.22","640,033.22","Consumer Discretionary","GB00B1ZBKY84","London Stock Exchange","United Kingdom","GBP"
"PFC","PETROFAC LTD","Equity","0.48","6.00","105,410.00","632,460.00","632,460.00","Energy","GB00B0H2K534","London Stock Exchange","United Kingdom","GBP"
"RSW","RENISHAW PLC","Equity","0.47","42.76","14,662.00","626,947.12","626,947.12","Information Technology","GB0007323586","London Stock Exchange","United Kingdom","GBP"
"UDG","UDG HEALTHCARE COMPANY","Equity","0.47","6.26","100,041.00","626,756.86","626,756.86","Health Care","IE0033024807","London Stock Exchange","United Kingdom","GBP"
"GNK","GREENE KING PLC","Equity","0.47","5.00","124,883.00","624,664.77","624,664.77","Consumer Discretionary","GB00B0HZP136","London Stock Exchange","United Kingdom","GBP"
"SHB","SHAFTESBURY REIT PLC","Equity","0.47","9.03","68,433.00","617,607.83","617,607.83","Real Estate","GB0007990962","London Stock Exchange","United Kingdom","GBP"
"TCAP","TP ICAP PLC","Equity","0.46","2.74","223,217.00","611,614.58","611,614.58","Financials","GB00B1H0DZ51","London Stock Exchange","United Kingdom","GBP"
"JLG","JOHN LAING GROUP PLC","Equity","0.46","3.05","199,183.00","608,304.88","608,304.88","Industrials","GB00BVC3CB83","London Stock Exchange","United Kingdom","GBP"
"JUP","JUPITER FUND MANAGEMENT PLC","Equity","0.45","3.42","175,167.00","599,071.14","599,071.14","Financials","GB00B53P2009","London Stock Exchange","United Kingdom","GBP"
"IWG","IWG","Equity","0.45","2.16","275,093.00","594,200.88","594,200.88","Industrials","JE00BYVQYS01","London Stock Exchange","United Kingdom","GBP"
"ASCL","ASCENTIAL PLC","Equity","0.44","3.76","154,078.00","579,949.59","579,949.59","Communication","GB00BYM8GJ06","London Stock Exchange","United Kingdom","GBP"
"SAGA","SAGA PLC","Equity","0.44","1.31","440,097.00","576,527.07","576,527.07","Financials","GB00BLT1Y088","London Stock Exchange","United Kingdom","GBP"
"PFG","PROVIDENT FINANCIAL PLC","Equity","0.43","5.58","102,611.00","572,158.94","572,158.94","Financials","GB00B1Z4ST84","London Stock Exchange","United Kingdom","GBP"
"DPLM","DIPLOMA PLC","Equity","0.43","12.68","44,498.00","564,234.64","564,234.64","Industrials","GB0001826634","London Stock Exchange","United Kingdom","GBP"
"GNS","GENUS PLC","Equity","0.42","22.56","24,930.00","562,420.80","562,420.80","Health Care","GB0002074580","London Stock Exchange","United Kingdom","GBP"
"ASHM","ASHMORE GROUP PLC","Equity","0.42","3.55","157,917.00","560,921.18","560,921.18","Financials","GB00B132NW22","London Stock Exchange","United Kingdom","GBP"
"INDV","INDIVIOR PLC","Equity","0.42","1.92","290,715.00","559,190.30","559,190.30","Health Care","GB00BRS65X63","London Stock Exchange","United Kingdom","GBP"
"PTEC","PLAYTECH PLC","Equity","0.41","4.51","121,439.00","548,297.08","548,297.08","Consumer Discretionary","IM00B7S9G985","London Stock Exchange","United Kingdom","GBP"
"GNC","GREENCORE GROUP PLC","Equity","0.41","1.97","276,999.00","545,134.03","545,134.03","Consumer Staples","IE0003864109","London Stock Exchange","United Kingdom","GBP"
"BVS","BOVIS HOMES GROUP PLC","Equity","0.41","9.96","54,256.00","540,498.27","540,498.27","Consumer Discretionary","GB0001859296","London Stock Exchange","United Kingdom","GBP"
"AGR","ASSURA REIT PLC","Equity","0.41","0.56","968,875.00","539,663.38","539,663.38","Real Estate","GB00BVGBWW93","London Stock Exchange","United Kingdom","GBP"
"SYNT","SYNTHOMER PLC","Equity","0.39","4.72","110,562.00","522,294.89","522,294.89","Materials","GB0009887422","London Stock Exchange","United Kingdom","GBP"
"RDW","REDROW PLC","Equity","0.39","5.29","97,876.00","517,764.04","517,764.04","Consumer Discretionary","GB0007282386","London Stock Exchange","United Kingdom","GBP"
"BYG","BIG YELLOW GROUP PLC","Equity","0.39","8.70","59,152.00","514,622.40","514,622.40","Real Estate","GB0002869419","London Stock Exchange","United Kingdom","GBP"
"DOM","DOMINOS PIZZA GROUP PLC","Equity","0.38","2.61","194,635.00","507,413.45","507,413.45","Consumer Discretionary","GB00BYN59130","London Stock Exchange","United Kingdom","GBP"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Equity","0.38","1.82","273,612.00","497,973.84","497,973.84","Real Estate","GB00B4WFW713","London Stock Exchange","United Kingdom","GBP"
"CNE","CAIRN ENERGY PLC","Equity","0.37","2.11","234,952.00","496,688.53","496,688.53","Energy","GB00B74CDH82","London Stock Exchange","United Kingdom","GBP"
"VSVS","VESUVIUS PLC","Equity","0.37","5.79","85,015.00","492,236.85","492,236.85","Industrials","GB00B82YXW83","London Stock Exchange","United Kingdom","GBP"
"CEY","CENTAMIN PLC","Equity","0.37","1.06","464,120.00","490,574.84","490,574.84","Materials","JE00B5TT1872","London Stock Exchange","United Kingdom","GBP"
"KAZ","KAZ MINERALS PLC PLC","Equity","0.37","4.93","99,014.00","488,535.08","488,535.08","Materials","GB00B0HZPV38","London Stock Exchange","United Kingdom","GBP"
"CSP","COUNTRYSIDE PROP PLC","Equity","0.36","2.88","164,596.00","473,378.10","473,378.10","Consumer Discretionary","GB00BYPHNG03","London Stock Exchange","United Kingdom","GBP"
"WKP","WORKSPACE GROUP REIT PLC","Equity","0.35","9.67","48,194.00","466,035.98","466,035.98","Real Estate","GB00B67G5X01","London Stock Exchange","United Kingdom","GBP"
"GRI","GRAINGER PLC","Equity","0.35","2.82","163,513.00","461,760.71","461,760.71","Real Estate","GB00B04V1276","London Stock Exchange","United Kingdom","GBP"
"SNR","SENIOR PLC","Equity","0.35","2.78","164,454.00","457,182.12","457,182.12","Industrials","GB0007958233","London Stock Exchange","United Kingdom","GBP"
"LRE","LANCASHIRE HOLDINGS LTD","Equity","0.34","5.80","77,975.00","452,255.00","452,255.00","Financials","BMG5361W1047","London Stock Exchange","United Kingdom","GBP"
"SRP","SERCO GROUP PLC","Equity","0.34","1.01","448,405.00","451,543.83","451,543.83","Industrials","GB0007973794","London Stock Exchange","United Kingdom","GBP"
"SAFE","SAFESTORE HOLDINGS PLC","Equity","0.34","5.23","85,703.00","448,226.69","448,226.69","Real Estate","GB00B1N7Z094","London Stock Exchange","United Kingdom","GBP"
"GRG","GREGGS PLC","Equity","0.34","11.28","39,502.00","445,582.56","445,582.56","Consumer Discretionary","GB00B63QSB39","London Stock Exchange","United Kingdom","GBP"
"PAG","PARAGON GROUP OF COMPANIES","Equity","0.33","4.29","102,472.00","439,604.88","439,604.88","Financials","GB00B2NGPM57","London Stock Exchange","United Kingdom","GBP"
"ULE","ULTRA ELECTRONICS HOLDINGS PLC","Equity","0.33","14.35","30,391.00","436,110.85","436,110.85","Industrials","GB0009123323","London Stock Exchange","United Kingdom","GBP"
"SXX","SIRIUS MINERALS PLC","Equity","0.32","0.25","1,688,079.00","424,383.06","424,383.06","Materials","GB00B0DG3H29","London Stock Exchange","United Kingdom","GBP"
"RHIM","RHI MAGNESITA NV","Equity","0.32","39.76","10,527.00","418,553.52","418,553.52","Materials","NL0012650360","London Stock Exchange","United Kingdom","GBP"
"ESNT","ESSENTRA PLC","Equity","0.32","3.92","106,657.00","418,308.75","418,308.75","Materials","GB00B0744359","London Stock Exchange","United Kingdom","GBP"
"FGP","FIRSTGROUP PLC","Equity","0.31","0.88","473,374.00","417,042.49","417,042.49","Industrials","GB0003452173","London Stock Exchange","United Kingdom","GBP"
"SVS","SAVILLS PLC","Equity","0.31","7.50","55,557.00","416,399.72","416,399.72","Real Estate","GB00B135BJ46","London Stock Exchange","United Kingdom","GBP"
"RAT","RATHBONE BROTHERS PLC","Equity","0.31","22.86","18,074.00","413,171.64","413,171.64","Financials","GB0002148343","London Stock Exchange","United Kingdom","GBP"
"COA","COATS GROUP PLC","Equity","0.31","0.74","554,693.00","410,472.82","410,472.82","Consumer Discretionary","GB00B4YZN328","London Stock Exchange","United Kingdom","GBP"
"ELM","ELEMENTIS PLC","Equity","0.31","2.24","181,852.00","408,075.89","408,075.89","Materials","GB0002418548","London Stock Exchange","United Kingdom","GBP"
"GFRD","GALLIFORD TRY PLC","Equity","0.30","8.92","45,217.00","403,335.64","403,335.64","Industrials","GB00B3Y2J508","London Stock Exchange","United Kingdom","GBP"
"PLUS","PLUS500 LTD","Equity","0.30","12.80","31,353.00","401,318.40","401,318.40","Financials","IL0011284465","London Stock Exchange","United Kingdom","GBP"
"GAW","GAMES WORKSHOP GROUP PLC","Equity","0.30","33.30","12,030.00","400,599.00","400,599.00","Consumer Discretionary","GB0003718474","London Stock Exchange","United Kingdom","GBP"
"CLIN","CLINIGEN GROUP PLC","Equity","0.30","8.71","45,118.00","392,752.19","392,752.19","Health Care","GB00B89J2419","London Stock Exchange","United Kingdom","GBP"
"HTG","HUNTING PLC","Equity","0.30","7.20","54,410.00","391,752.00","391,752.00","Energy","GB0004478896","London Stock Exchange","United Kingdom","GBP"
"CCC","COMPUTACENTER PLC","Equity","0.28","12.94","29,041.00","375,790.54","375,790.54","Information Technology","GB00BV9FP302","London Stock Exchange","United Kingdom","GBP"
"PMO","PREMIER OIL PLC","Equity","0.28","1.21","300,577.00","364,299.32","364,299.32","Energy","GB00B43G0577","London Stock Exchange","United Kingdom","GBP"
"PRSM","BLUE PRISM GROUP PLC","Equity","0.27","17.70","20,171.00","357,026.70","357,026.70","Information Technology","GB00BYQ0HV16","London Stock Exchange","United Kingdom","GBP"
"BRW","BREWIN DOLPHIN HOLDINGS PLC","Equity","0.27","3.22","110,570.00","356,477.68","356,477.68","Financials","GB0001765816","London Stock Exchange","United Kingdom","GBP"
"IBST","IBSTOCK PLC","Equity","0.27","2.14","165,259.00","353,984.78","353,984.78","Materials","GB00BYXJC278","London Stock Exchange","United Kingdom","GBP"
"DTG","DART GROUP PLC","Equity","0.27","8.93","39,622.00","353,824.46","353,824.46","Industrials","GB00B1722W11","London Stock Exchange","United Kingdom","GBP"
"KIE","KIER GROUP PLC","Equity","0.26","9.13","37,804.00","345,150.52","345,150.52","Industrials","GB0004915632","London Stock Exchange","United Kingdom","GBP"
"MSLH","MARSHALLS PLC","Equity","0.26","4.20","81,937.00","344,463.15","344,463.15","Materials","GB00B012BV22","London Stock Exchange","United Kingdom","GBP"
