Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"GLE","SOCIETE GENERALE SA","Equity","0.70","35.15","311,790","10,957,860","10,957,859.55","Financials","FR0000130809","Nyse Euronext - Euronext Paris","France","EUR"
"NOKIA","NOKIA","Equity","0.69","4.71","2,295,836","10,824,867","10,824,866.74","Information Technology","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Equity","0.68","62.82","168,912","10,611,052","10,611,051.84","Health Care","DE0005785604","Xetra","Germany","EUR"
"BMW","BMW AG","Equity","0.65","75.24","134,543","10,123,015","10,123,015.32","Consumer Discretionary","DE0005190003","Xetra","Germany","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.63","19.48","506,938","9,876,166","9,876,166.12","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"UCG","UNICREDIT","Equity","0.63","12.05","815,265","9,825,574","9,825,573.78","Financials","IT0005239360","Borsa Italiana","Italy","EUR"
"EL","ESSILORLUXOTTICA SA","Equity","0.62","115.65","84,508","9,773,350","9,773,350.20","Health Care","FR0000121667","Nyse Euronext - Euronext Paris","France","EUR"
"NXPI","NXP SEMICONDUCTORS NV","Equity","0.62","69.27","140,441","9,728,976","9,728,975.82","Information Technology","NL0009538784","NASDAQ","Netherlands","USD"
"VIV","VIVENDI SA","Equity","0.59","21.85","421,008","9,199,025","9,199,024.80","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"URW","WFD UNIBAIL RODAMCO STAPLED UNITS","Equity","0.58","161.96","56,166","9,096,645","9,096,645.36","Real Estate","FR0013326246","Euronext Amsterdam","France","EUR"
"REP","REPSOL SA","Equity","0.57","16.28","553,244","9,006,812","9,006,812.32","Energy","ES0173516115","Bolsa De Madrid","Spain","EUR"
"CRG","CRH PLC","Equity","0.57","26.40","340,694","8,994,322","8,994,321.60","Materials","IE0001827041","Irish Stock Exchange - All Market","Ireland","EUR"
"IFX","INFINEON TECHNOLOGIES AG","Equity","0.56","19.02","464,939","8,840,815","8,840,815.09","Information Technology","DE0006231004","Xetra","Germany","EUR"
"ENGI","ENGIE SA","Equity","0.56","11.75","741,802","8,716,174","8,716,173.50","Utilities","FR0010208488","Nyse Euronext - Euronext Paris","France","EUR"
"DB1","DEUTSCHE BOERSE AG","Equity","0.56","110.35","78,944","8,711,470","8,711,470.40","Financials","DE0005810055","Xetra","Germany","EUR"
"WDI","WIRECARD AG","Equity","0.54","177.00","47,951","8,487,327","8,487,327.00","Information Technology","DE0007472060","Xetra","Germany","EUR"
"HEIA","HEINEKEN NV","Equity","0.52","76.76","105,508","8,098,794","8,098,794.08","Consumer Staples","NL0000009165","Euronext Amsterdam","Netherlands","EUR"
"VNA","VONOVIA SE","Equity","0.52","40.68","198,633","8,080,390","8,080,390.44","Real Estate","DE000A1ML7J1","Xetra","Germany","EUR"
"DBK","DEUTSCHE BANK AG","Equity","0.50","9.78","800,589","7,830,561","7,830,561.01","Financials","DE0005140008","Xetra","Germany","EUR"
"AKZA","AKZO NOBEL NV","Equity","0.50","76.00","102,926","7,822,376","7,822,376.00","Materials","NL0000009132","Euronext Amsterdam","Netherlands","EUR"
"EOAN","E.ON N","Equity","0.49","8.49","895,697","7,605,363","7,605,363.23","Utilities","DE000ENAG999","Xetra","Germany","EUR"
"SAMPO","SAMPO","Equity","0.47","40.84","181,494","7,412,215","7,412,214.96","Financials","FI0009003305","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"HEN3","HENKEL & KGAA PREF AG","Equity","0.45","96.72","73,056","7,065,976","7,065,976.32","Consumer Staples","DE0006048432","Xetra","Germany","EUR"
"CAP","CAPGEMINI","Equity","0.44","105.95","65,672","6,957,948","6,957,948.40","Information Technology","FR0000125338","Nyse Euronext - Euronext Paris","France","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Equity","0.44","33.56","204,543","6,863,440","6,863,440.37","Industrials","FR0000125007","Nyse Euronext - Euronext Paris","France","EUR"
"ML","MICHELIN","Equity","0.44","98.28","69,425","6,823,089","6,823,089.00","Consumer Discretionary","FR0000121261","Nyse Euronext - Euronext Paris","France","EUR"
"G","ASSICURAZIONI GENERALI","Equity","0.43","14.23","478,648","6,813,554","6,813,554.28","Financials","IT0000062072","Borsa Italiana","Italy","EUR"
"MT","ARCELORMITTAL SA","Equity","0.43","24.81","273,145","6,775,362","6,775,361.72","Materials","LU1598757687","Euronext Amsterdam","France","EUR"
"UPM","UPM-KYMMENE","Equity","0.43","30.40","219,336","6,667,814","6,667,814.40","Materials","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"KBC","KBC GROEP","Equity","0.42","65.00","102,018","6,631,170","6,631,170.00","Financials","BE0003565737","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"RMS","HERMES INTERNATIONAL","Equity","0.41","499.30","12,790","6,386,047","6,386,047.00","Consumer Discretionary","FR0000052292","Nyse Euronext - Euronext Paris","France","EUR"
"LR","LEGRAND SA","Equity","0.41","58.88","107,958","6,356,567","6,356,567.04","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Equity","0.40","71.58","88,031","6,301,259","6,301,258.98","Health Care","DE0005785802","Xetra","Germany","EUR"
"DSY","DASSAULT SYSTEMES","Equity","0.40","116.25","53,514","6,221,003","6,221,002.50","Information Technology","FR0000130650","Nyse Euronext - Euronext Paris","France","EUR"
"CON","CONTINENTAL AG","Equity","0.40","138.95","44,723","6,214,261","6,214,260.85","Consumer Discretionary","DE0005439004","Xetra","Germany","EUR"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Equity","0.39","13.87","440,815","6,113,222","6,113,222.42","Consumer Discretionary","NL0010877643","Borsa Italiana","Italy","EUR"
"WKL","WOLTERS KLUWER NV","Equity","0.39","50.80","119,099","6,050,229","6,050,229.20","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"DSM","KONINKILIJKE DSM NV","Equity","0.38","80.70","74,447","6,007,873","6,007,872.90","Materials","NL0000009827","Euronext Amsterdam","Netherlands","EUR"
"KRZ","KERRY GROUP PLC","Equity","0.38","91.39","65,147","5,953,784","5,953,784.33","Consumer Staples","IE0004906560","Irish Stock Exchange - All Market","Ireland","EUR"
"DWNI","DEUTSCHE WOHNEN","Equity","0.38","41.06","143,904","5,908,698","5,908,698.24","Real Estate","DE000A0HN5C6","Xetra","Germany","EUR"
"KNEBV","KONE","Equity","0.37","41.78","138,939","5,804,871","5,804,871.42","Industrials","FI0009013403","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"ACA","CREDIT AGRICOLE SA","Equity","0.36","12.16","469,374","5,707,588","5,707,587.84","Financials","FR0000045072","Nyse Euronext - Euronext Paris","France","EUR"
"CABK","CAIXABANK SA","Equity","0.36","3.81","1,460,652","5,570,927","5,570,926.73","Financials","ES0140609019","Bolsa De Madrid","Spain","EUR"
"RNO","RENAULT SA","Equity","0.34","69.11","78,099","5,397,422","5,397,421.89","Consumer Discretionary","FR0000131906","Nyse Euronext - Euronext Paris","France","EUR"
"RACE","FERRARI NV","Equity","0.33","102.15","50,342","5,142,435","5,142,435.30","Consumer Discretionary","NL0011585146","Borsa Italiana","Italy","EUR"
"UG","PEUGEOT SA","Equity","0.32","20.65","242,033","4,997,981","4,997,981.45","Consumer Discretionary","FR0000121501","Nyse Euronext - Euronext Paris","France","EUR"
"HO","THALES SA","Equity","0.32","114.70","43,203","4,955,384","4,955,384.10","Industrials","FR0000121329","Nyse Euronext - Euronext Paris","France","EUR"
"MRK","MERCK","Equity","0.31","92.30","53,379","4,926,882","4,926,881.70","Health Care","DE0006599905","Xetra","Germany","EUR"
"1COV","COVESTRO AG","Equity","0.30","61.00","78,047","4,760,867","4,760,867.00","Materials","DE0006062144","Xetra","Germany","EUR"
"NN","NN GROUP NV","Equity","0.30","38.87","121,949","4,740,158","4,740,157.63","Financials","NL0010773842","Euronext Amsterdam","Netherlands","EUR"
"EBS","ERSTE GROUP BANK AG","Equity","0.29","36.82","123,791","4,557,985","4,557,984.62","Financials","AT0000652011","Wiener Boerse Ag","Austria","EUR"
