Fund Holdings as of,"17/Oct/2018"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Country,Market Currency
"GIVN","GIVAUDAN SA","Equity","0.25","2,035.20","5,427.00","11,045,018.38","11,045,018.38","Materials","CH0010645932","Six Swiss Exchange Ag","Switzerland","CHF"
"AKZA","AKZO NOBEL NV","Equity","0.25","76.00","144,162.00","10,956,312.00","10,956,312.00","Materials","NL0000009132","Euronext Amsterdam","Netherlands","EUR"
"EOAN","E.ON N","Equity","0.25","8.49","1,287,803.00","10,934,735.27","10,934,735.27","Utilities","DE000ENAG999","Xetra","Germany","EUR"
"EXPN","EXPERIAN PLC","Equity","0.25","20.59","525,492.00","10,820,091.99","10,820,091.99","Industrials","GB00B19NLV48","London Stock Exchange","United Kingdom","GBP"
"SAMPO","SAMPO","Equity","0.24","40.84","254,455.00","10,391,942.20","10,391,942.20","Financials","FI0009003305","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"STAN","STANDARD CHARTERED PLC","Equity","0.24","6.38","1,620,161.00","10,341,066.59","10,341,066.59","Financials","GB0004082847","London Stock Exchange","United Kingdom","GBP"
"SWED A","SWEDBANK","Equity","0.23","19.03","524,844.00","9,989,683.36","9,989,683.36","Financials","SE0000242455","Nasdaq Omx Nordic","Sweden","SEK"
"INVE B","INVESTOR B","Equity","0.23","37.01","267,958.00","9,917,439.12","9,917,439.12","Financials","SE0000107419","Nasdaq Omx Nordic","Sweden","SEK"
"HEN3","HENKEL & KGAA PREF AG","Equity","0.23","96.72","101,743.00","9,840,582.96","9,840,582.96","Consumer Staples","DE0006048432","Xetra","Germany","EUR"
"ASSA B","ASSA ABLOY B","Equity","0.22","16.73","583,968.00","9,768,437.11","9,768,437.11","Industrials","SE0007100581","Nasdaq Omx Nordic","Sweden","SEK"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Equity","0.22","33.56","288,945.00","9,695,549.47","9,695,549.47","Industrials","FR0000125007","Nyse Euronext - Euronext Paris","France","EUR"
"CAP","CAPGEMINI","Equity","0.22","105.95","91,508.00","9,695,272.60","9,695,272.60","Information Technology","FR0000125338","Nyse Euronext - Euronext Paris","France","EUR"
"ML","MICHELIN","Equity","0.22","98.28","98,344.00","9,665,248.32","9,665,248.32","Consumer Discretionary","FR0000121261","Nyse Euronext - Euronext Paris","France","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Equity","0.22","10.16","949,200.00","9,647,315.61","9,647,315.61","Industrials","GB00B63H8491","London Stock Exchange","United Kingdom","GBP"
"DNB","DNB","Equity","0.22","17.23","559,740.00","9,644,556.07","9,644,556.07","Financials","NO0010031479","Oslo Bors Asa","Norway","NOK"
"G","ASSICURAZIONI GENERALI","Equity","0.22","14.23","677,197.00","9,639,899.29","9,639,899.29","Financials","IT0000062072","Borsa Italiana","Italy","EUR"
"LGEN","LEGAL AND GENERAL GROUP PLC","Equity","0.22","2.78","3,464,598.00","9,622,171.43","9,622,171.43","Financials","GB0005603997","London Stock Exchange","United Kingdom","GBP"
"MT","ARCELORMITTAL SA","Equity","0.22","24.81","380,027.00","9,426,569.73","9,426,569.73","Materials","LU1598757687","Euronext Amsterdam","France","EUR"
"KBC","KBC GROEP","Equity","0.21","65.00","143,462.00","9,325,030.00","9,325,030.00","Financials","BE0003565737","Nyse Euronext - Euronext Brussels","Belgium","EUR"
"UPM","UPM-KYMMENE","Equity","0.21","30.40","303,809.00","9,235,793.60","9,235,793.60","Materials","FI0009005987","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"RMS","HERMES INTERNATIONAL","Equity","0.21","499.30","18,262.00","9,118,216.60","9,118,216.60","Consumer Discretionary","FR0000052292","Nyse Euronext - Euronext Paris","France","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Equity","0.21","71.58","126,192.00","9,032,823.36","9,032,823.36","Health Care","DE0005785802","Xetra","Germany","EUR"
"SAND","SANDVIK","Equity","0.21","13.89","649,348.00","9,021,860.58","9,021,860.58","Industrials","SE0000667891","Nasdaq Omx Nordic","Sweden","SEK"
"LSE","LONDON STOCK EXCHANGE GROUP PLC","Equity","0.21","48.70","183,560.00","8,939,242.24","8,939,242.24","Financials","GB00B0SWJX34","London Stock Exchange","United Kingdom","GBP"
"LR","LEGRAND SA","Equity","0.21","58.88","151,722.00","8,933,391.36","8,933,391.36","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"CON","CONTINENTAL AG","Equity","0.21","138.95","64,193.00","8,919,617.35","8,919,617.35","Consumer Discretionary","DE0005439004","Xetra","Germany","EUR"
"ATCO A","ATLAS COPCO CLASS A","Equity","0.20","22.58","393,641.00","8,888,303.72","8,888,303.72","Industrials","SE0011166610","Nasdaq Omx Nordic","Sweden","SEK"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Equity","0.20","13.87","632,229.00","8,767,751.77","8,767,751.77","Consumer Discretionary","NL0010877643","Borsa Italiana","Italy","EUR"
"DSY","DASSAULT SYSTEMES","Equity","0.20","116.25","75,114.00","8,732,002.50","8,732,002.50","Information Technology","FR0000130650","Nyse Euronext - Euronext Paris","France","EUR"
